"","Scores"
"Sensitivity",0.898477157360406
"Specificity",0.710659898477157
"Pos Pred Value",0.756410256410256
"Neg Pred Value",0.875
"Precision",0.756410256410256
"Recall",0.898477157360406
"F1",0.821345707656613
"Prevalence",0.5
"Detection Rate",0.449238578680203
"Detection Prevalence",0.593908629441624
"Balanced Accuracy",0.804568527918782
