"","Scores"
"Sensitivity",0.894179894179894
"Specificity",0.714285714285714
"Pos Pred Value",0.757847533632287
"Neg Pred Value",0.870967741935484
"Precision",0.757847533632287
"Recall",0.894179894179894
"F1",0.820388349514563
"Prevalence",0.5
"Detection Rate",0.447089947089947
"Detection Prevalence",0.58994708994709
"Balanced Accuracy",0.804232804232804
