"","Scores"
"Sensitivity",0.904761904761905
"Specificity",0.682539682539683
"Pos Pred Value",0.74025974025974
"Neg Pred Value",0.877551020408163
"Precision",0.74025974025974
"Recall",0.904761904761905
"F1",0.814285714285714
"Prevalence",0.5
"Detection Rate",0.452380952380952
"Detection Prevalence",0.611111111111111
"Balanced Accuracy",0.793650793650794
